                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0806,                 2.6829,                 1.5217,                0.32851,                 0.2902,                0.15801,                0.08626,                 1.6075,                 2.9353,                 1.2736,             0.00065152,             0.00065152,             0.00065152
                      1,                  1.593,                 1.6414,                 1.2301,                0.70806,                0.51835,                0.60822,                 0.3287,                 1.5527,                 2.0328,                 1.2849,              0.0013051,              0.0013051,              0.0013051
                      2,                 1.5394,                 1.5034,                 1.1959,                0.70032,                0.59109,                 0.6349,                0.34049,                 1.5139,                 1.5901,                 1.2677,              0.0019455,              0.0019455,              0.0019455
                      3,                  1.538,                 1.4436,                 1.2011,                0.65817,                0.60406,                0.60631,                 0.3328,                 1.4587,                  2.035,                 1.2468,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.4796,                 1.3474,                 1.1743,                0.62523,                0.58235,                0.56383,                0.30678,                 1.5141,                 1.5874,                 1.2381,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4405,                 1.3276,                 1.1622,                 0.7393,                0.62832,                0.69785,                0.38294,                 1.4006,                 1.3938,                 1.1608,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3983,                 1.2246,                 1.1355,                0.73272,                0.61961,                0.66419,                0.37362,                 1.4359,                 1.3902,                 1.2071,               0.001901,               0.001901,               0.001901
                      7,                 1.3845,                 1.2294,                 1.1456,                0.72463,                 0.5549,                0.61347,                  0.329,                 1.6047,                 1.4717,                 1.3009,              0.0018812,              0.0018812,              0.0018812
                      8,                   1.39,                 1.2048,                 1.1387,                0.78098,                0.66078,                0.75496,                0.46287,                 1.3507,                 1.2337,                 1.1691,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.385,                 1.1547,                 1.1335,                0.75932,                0.67428,                0.75827,                0.44158,                 1.3562,                 1.2208,                  1.164,              0.0018416,              0.0018416,              0.0018416
