                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4939,                 4.1669,                 1.8004,                0.58665,                0.57984,                0.58941,                0.30364,                 1.6442,                  2.042,                 1.3822,                0.00042,                0.00042,                0.00042
                      1,                 1.5386,                  1.523,                 1.2171,                0.64235,                0.62257,                0.60453,                0.31929,                 1.5428,                 3.5198,                 1.3196,             0.00085574,             0.00085574,             0.00085574
                      2,                 1.5859,                  1.426,                  1.262,                0.67513,                0.50584,                0.50848,                0.27804,                 1.5978,                 2.2753,                 1.3475,              0.0012871,              0.0012871,              0.0012871
                      3,                 1.4811,                 1.3693,                 1.2382,                0.45635,                0.55527,                0.47766,                0.23925,                 1.6005,                  5.571,                 1.3851,              0.0017142,              0.0017142,              0.0017142
                      4,                 1.5015,                 1.3148,                 1.2273,                0.33197,                0.59144,                0.28543,                0.14315,                 1.5735,                  5.054,                 1.3525,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.4939,                 1.3358,                 1.2448,                 0.4593,                0.22957,                0.18566,                0.10224,                 2.2286,                 4.4902,                 1.8362,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.4901,                 1.3134,                 1.2345,                0.29971,                0.22568,                0.14454,                0.07693,                  2.207,                 2.8741,                 1.9011,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.4669,                 1.1963,                 1.1919,                0.52903,                0.52013,                0.44367,                0.26566,                 1.4627,                 1.6681,                 1.2864,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.4142,                 1.2122,                 1.2022,                 0.7102,                0.66148,                0.69943,                0.40114,                 1.4853,                 1.2692,                 1.3104,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4725,                  1.183,                 1.2127,                0.72648,                0.66537,                 0.7343,                0.41822,                 1.4294,                 1.2586,                 1.2576,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.3732,                  1.148,                 1.1965,                0.79522,                0.64974,                0.71926,                  0.425,                 1.4178,                 1.2926,                 1.2743,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.3863,                 1.1237,                 1.1989,                0.73177,                0.63692,                0.67882,                0.38517,                 1.4231,                 1.3449,                 1.2633,               0.001901,               0.001901,               0.001901
                     12,                  1.364,                 1.1064,                 1.1812,                0.72131,                0.71595,                0.74382,                0.43448,                 1.4018,                 1.3343,                 1.2562,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.3601,                 1.1181,                 1.1766,                0.80852,                0.69261,                 0.7897,                0.47034,                 1.3464,                 1.1102,                 1.1983,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.3297,                 1.0565,                 1.1523,                0.82564,                0.67704,                0.79359,                0.47691,                 1.3894,                 1.1214,                 1.2264,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.3542,                  1.063,                 1.1484,                0.77231,                0.70428,                0.75937,                0.46153,                  1.363,                 1.1111,                 1.2245,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.3239,                 1.0272,                  1.148,                0.81169,                0.73541,                0.81871,                0.50985,                 1.2981,                 1.0038,                  1.207,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.3596,                 1.0556,                 1.1705,                0.75851,                0.70039,                0.76976,                0.48397,                 1.2806,                 1.1182,                 1.1925,              0.0018416,              0.0018416,              0.0018416
                     18,                  1.271,                 0.9714,                 1.1301,                0.75277,                0.75823,                0.79584,                0.48904,                 1.3133,                 1.0767,                   1.21,              0.0018317,              0.0018317,              0.0018317
                     19,                  1.271,                0.96251,                 1.1461,                0.81382,                0.68872,                 0.7809,                0.49778,                 1.3215,                 1.0866,                 1.2034,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.3217,                 1.0134,                 1.1625,                0.84439,                0.75097,                0.81467,                0.50694,                 1.3137,                  1.051,                 1.2136,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.2931,                0.98696,                 1.1345,                0.78857,                0.69662,                0.77357,                0.46167,                 1.3554,                 1.4405,                 1.2384,               0.001802,               0.001802,               0.001802
                     22,                 1.2574,                0.93105,                 1.1159,                0.86322,                0.74319,                0.83038,                0.50594,                 1.3434,                 1.0296,                 1.1985,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.2337,                0.94822,                  1.123,                0.85475,                0.70817,                0.81735,                 0.5073,                 1.3219,                  1.011,                 1.2199,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.2027,                0.87244,                 1.1008,                0.83216,                0.65593,                0.74595,                0.46627,                 1.3442,                 1.0895,                  1.224,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.2714,                0.92388,                 1.1209,                0.87003,                0.71984,                 0.8327,                0.51449,                 1.3263,                  1.014,                 1.2062,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.1849,                0.86712,                 1.0872,                0.85282,                0.75486,                0.84212,                0.54532,                 1.2829,                0.95345,                 1.1668,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.2324,                0.91742,                 1.1044,                0.79822,                0.71206,                0.78409,                0.49319,                 1.3051,                 1.2061,                 1.2189,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.2404,                0.89186,                 1.1153,                0.79721,                0.69261,                0.76591,                0.46119,                 1.3892,                 1.1377,                 1.2477,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.2205,                0.88302,                 1.1131,                0.81588,                0.78599,                0.83757,                0.53445,                 1.2643,                0.99996,                 1.1747,              0.0017228,              0.0017228,              0.0017228
                     30,                   1.17,                0.85267,                 1.0851,                0.88663,                0.76076,                0.85298,                 0.5557,                 1.2502,                0.88795,                 1.1728,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.1773,                0.83435,                  1.074,                0.80186,                0.78734,                0.84824,                 0.5502,                 1.2633,                 0.8934,                 1.1742,               0.001703,               0.001703,               0.001703
                     32,                 1.1589,                0.81001,                 1.0769,                0.87305,                0.75875,                0.87077,                0.55937,                 1.2546,                0.89666,                  1.162,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.2137,                0.83459,                 1.0979,                0.83248,                0.80545,                0.85693,                0.53841,                 1.2744,                 1.0602,                 1.1978,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.1975,                0.85809,                 1.0891,                0.87265,                 0.7732,                0.86995,                0.56117,                 1.2221,                 0.8514,                  1.157,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.1565,                0.80041,                 1.0637,                0.82317,                0.80156,                0.85932,                0.56531,                 1.2077,                 0.8644,                 1.1481,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.1373,                0.79641,                 1.0687,                0.85967,                0.73892,                0.82664,                0.54371,                 1.1892,                0.92376,                 1.1543,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.1499,                0.80002,                 1.0643,                0.88203,                0.76265,                0.85007,                0.55217,                 1.2659,                0.95696,                 1.1701,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.1366,                0.78401,                 1.0537,                0.88468,                0.71639,                0.82819,                  0.539,                 1.2362,                  1.014,                 1.1767,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.1285,                0.79847,                 1.0532,                0.90061,                0.79377,                0.90171,                0.59426,                 1.1777,                0.78478,                 1.1303,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.0933,                 0.7686,                 1.0389,                0.92125,                0.82879,                0.90762,                0.59346,                 1.1804,                0.74614,                 1.1408,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.1367,                0.77704,                   1.07,                0.88223,                0.81616,                0.88784,                0.58625,                 1.1972,                 0.8036,                 1.1485,               0.001604,               0.001604,               0.001604
                     42,                 1.1101,                0.76763,                 1.0377,                0.90591,                0.83658,                 0.9016,                 0.5796,                 1.2522,                0.74913,                 1.1933,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1242,                0.75196,                 1.0483,                0.88135,                 0.7821,                0.85568,                 0.5608,                 1.1956,                0.89372,                 1.1603,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.0927,                0.77062,                 1.0618,                  0.892,                0.80339,                0.86361,                0.59163,                 1.1723,                0.83811,                 1.1253,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.1239,                0.75708,                  1.072,                0.87926,                0.80156,                 0.8732,                0.59477,                 1.1752,                0.81011,                 1.1403,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.0957,                0.74348,                 1.0449,                0.87719,                0.83375,                0.87434,                 0.5855,                 1.2271,                0.82449,                   1.14,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.0913,                0.75311,                 1.0438,                0.87477,                 0.8249,                0.88867,                0.60899,                 1.1379,                0.76136,                 1.1169,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.0809,                0.72039,                 1.0455,                0.86676,                0.86063,                0.89602,                 0.5906,                 1.2045,                0.78115,                 1.1603,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.0441,                0.70667,                 1.0253,                0.87692,                0.79767,                0.87766,                  0.598,                   1.15,                0.80113,                 1.1189,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.0725,                 0.7066,                  1.024,                0.92693,                0.78975,                0.89734,                0.61755,                 1.1426,                0.76847,                 1.1039,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.0283,                0.68167,                 1.0168,                0.85927,                 0.8716,                0.91119,                0.62629,                 1.1188,                0.75253,                    1.1,               0.001505,               0.001505,               0.001505
                     52,                 1.0179,                0.69007,                 1.0041,                0.86589,                0.78599,                0.88951,                0.59529,                 1.1737,                0.78691,                 1.1218,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.0711,                0.70194,                 1.0311,                0.86568,                0.83658,                0.91051,                0.61954,                 1.1374,                0.77259,                 1.1052,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.0842,                  0.714,                 1.0232,                0.81017,                 0.8677,                0.89914,                0.60949,                 1.1639,                0.74821,                 1.1138,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.0376,                0.69445,                  1.017,                0.86968,                0.80934,                0.88375,                0.60542,                 1.1471,                0.77214,                 1.1129,              0.0014654,              0.0014654,              0.0014654
