                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8425,                 3.9116,                 2.0509,                0.00659,                0.35225,                0.00458,                0.00206,                 1.8674,                 3.7152,                 1.5686,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.8755,                 2.7935,                 1.3349,                0.68531,                0.36651,                0.47111,                 0.2253,                 1.6724,                 2.5406,                 1.3303,               0.061279,              0.0042787,              0.0042787
                      2,                 1.7284,                 1.9144,                 1.2738,                0.59999,                0.43442,                0.44984,                0.21561,                  1.683,                 2.1386,                 1.3482,               0.041436,              0.0064357,              0.0064357
                      3,                 1.5722,                 1.6802,                 1.2313,                0.64872,                0.55969,                0.55991,                0.28823,                 1.6564,                 2.0152,                 1.3545,               0.021571,              0.0085708,              0.0085708
                      4,                 1.5888,                 1.6246,                 1.2336,                0.63011,                0.55969,                0.54731,                0.29086,                 1.5392,                 2.4163,                 1.3074,               0.009802,               0.009802,               0.009802
                      5,                 1.5633,                 1.5967,                  1.217,                0.66042,                0.60665,                0.63455,                0.35092,                 1.4771,                 1.7353,                 1.2564,               0.009802,               0.009802,               0.009802
                      6,                 1.5413,                 1.5227,                 1.2061,                0.65211,                0.58692,                0.56246,                0.29128,                 1.5661,                   1.87,                 1.3028,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5415,                 1.4665,                 1.1902,                0.51626,                 0.5636,                0.47231,                0.23281,                 1.6339,                  2.132,                 1.2766,               0.009703,               0.009703,               0.009703
                      8,                 1.4916,                 1.4558,                 1.1931,                0.74481,                0.61686,                0.68717,                0.34945,                 1.6016,                 1.5441,                 1.2873,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5012,                 1.4287,                 1.1788,                0.62581,                0.57534,                0.59557,                0.30958,                 1.5555,                 1.7248,                 1.2312,               0.009604,               0.009604,               0.009604
                     10,                 1.4322,                 1.3817,                 1.1682,                0.71059,                0.64775,                0.68176,                0.38825,                 1.3805,                 1.8791,                  1.182,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4488,                 1.3688,                 1.1751,                0.76219,                0.55186,                0.65193,                0.36585,                 1.4641,                 1.8478,                 1.2311,               0.009505,               0.009505,               0.009505
                     12,                 1.4273,                 1.3115,                 1.1576,                0.66768,                 0.5225,                0.56935,                0.30469,                 1.6148,                 1.6259,                 1.3208,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4177,                 1.3322,                 1.1446,                0.72157,                 0.5636,                0.61113,                0.34766,                 1.4365,                 1.5463,                 1.2181,               0.009406,               0.009406,               0.009406
                     14,                 1.4203,                 1.2937,                 1.1593,                0.73992,                0.66254,                0.71325,                0.40559,                 1.4033,                 1.3405,                 1.1787,              0.0093565,              0.0093565,              0.0093565
