                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2857,                 3.0548,                 1.6684,                0.01176,                0.77916,                0.17234,                0.09023,                 1.5971,                 3.0444,                 1.3029,                0.00056,                0.00056,                0.00056
                      1,                 1.6585,                  1.828,                 1.2627,                0.16408,                0.31104,                0.17921,                 0.0886,                 1.6114,                 3.1401,                 1.5801,              0.0011399,              0.0011399,              0.0011399
                      2,                 1.6319,                 1.6835,                 1.2502,                0.60746,                0.52255,                0.50171,                0.25337,                 1.6606,                 2.1574,                 1.4909,              0.0017196,              0.0017196,              0.0017196
                      3,                 1.6141,                  1.627,                 1.2756,                0.66012,                0.51477,                0.54314,                0.28217,                 1.7265,                 1.9762,                 1.6291,              0.0019989,              0.0019989,              0.0019989
                      4,                 1.5481,                 1.5479,                 1.2364,                0.64021,                  0.479,                0.53799,                0.28729,                 1.6719,                 1.9721,                 1.5256,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.5033,                 1.4545,                 1.1969,                0.71343,                0.56143,                0.64253,                0.34786,                 1.4703,                 1.8335,                   1.31,               0.001998,               0.001998,               0.001998
                      6,                 1.4975,                 1.3886,                 1.2159,                0.76455,                0.56057,                0.66108,                0.35488,                 1.5172,                 1.6323,                 1.3302,              0.0019969,              0.0019969,              0.0019969
                      7,                 1.4969,                 1.3533,                 1.1877,                 0.7476,                0.66563,                0.73564,                 0.4239,                 1.4001,                 1.3957,                 1.2805,              0.0019956,              0.0019956,              0.0019956
                      8,                 1.4491,                 1.2678,                 1.1697,                 0.7565,                0.65319,                0.72328,                0.38919,                 1.5078,                 1.5928,                 1.4045,               0.001994,               0.001994,               0.001994
                      9,                 1.4827,                 1.3137,                 1.2164,                0.73448,                0.62675,                0.69763,                0.39623,                 1.4501,                 1.4386,                 1.2986,              0.0019922,              0.0019922,              0.0019922
                     10,                 1.4402,                  1.257,                 1.1705,                0.74014,                0.63786,                 0.6967,                0.41152,                 1.4271,                 1.5961,                 1.2638,              0.0019901,              0.0019901,              0.0019901
                     11,                 1.4456,                 1.2884,                 1.1684,                0.75803,                0.68274,                0.75895,                0.44568,                 1.3526,                 1.4783,                 1.2095,              0.0019878,              0.0019878,              0.0019878
                     12,                 1.3848,                  1.218,                 1.1567,                0.75698,                0.71697,                0.78075,                0.45827,                 1.3545,                 1.3927,                 1.2628,              0.0019853,              0.0019853,              0.0019853
                     13,                 1.3942,                 1.1865,                 1.1595,                0.76589,                0.66096,                 0.7482,                 0.4401,                 1.3766,                 1.2755,                 1.2599,              0.0019825,              0.0019825,              0.0019825
                     14,                 1.4073,                 1.1765,                 1.1379,                0.77468,                0.64075,                0.72428,                0.42339,                 1.3552,                 1.4525,                 1.2387,              0.0019794,              0.0019794,              0.0019794
                     15,                 1.3745,                 1.1833,                 1.1544,                0.77168,                0.72162,                0.78817,                0.47522,                 1.3283,                 1.2664,                 1.2413,              0.0019762,              0.0019762,              0.0019762
                     16,                 1.3712,                 1.1432,                 1.1344,                0.74917,                0.71996,                0.78231,                0.46964,                 1.3964,                 1.2879,                 1.2678,              0.0019726,              0.0019726,              0.0019726
                     17,                 1.3515,                 1.1145,                 1.1242,                 0.7838,                0.67496,                0.76207,                 0.4649,                 1.3407,                 1.3314,                 1.2197,              0.0019689,              0.0019689,              0.0019689
                     18,                   1.36,                 1.1562,                  1.142,                0.78909,                0.63919,                0.76092,                0.47901,                 1.3241,                 1.2356,                 1.2276,              0.0019649,              0.0019649,              0.0019649
                     19,                 1.3169,                 1.1087,                 1.0992,                0.73656,                0.70442,                  0.765,                0.45571,                 1.3484,                 1.2287,                 1.2189,              0.0019607,              0.0019607,              0.0019607
                     20,                 1.3425,                 1.1076,                 1.1281,                 0.7322,                0.66563,                0.72736,                0.42668,                 1.3524,                 1.2234,                 1.2242,              0.0019562,              0.0019562,              0.0019562
                     21,                 1.3301,                 1.1182,                 1.1097,                0.80325,                0.67807,                0.78327,                0.45987,                 1.3921,                 1.2321,                 1.2472,              0.0019515,              0.0019515,              0.0019515
                     22,                 1.3051,                 1.0451,                 1.1035,                0.76928,                0.67341,                0.77535,                0.47996,                 1.3165,                  1.289,                 1.2077,              0.0019466,              0.0019466,              0.0019466
                     23,                 1.3308,                 1.0983,                 1.1074,                0.80195,                0.69829,                0.80912,                0.49916,                 1.3088,                 1.1669,                 1.2437,              0.0019415,              0.0019415,              0.0019415
                     24,                 1.2798,                 1.0642,                 1.1047,                0.79998,                0.70451,                0.79649,                  0.472,                 1.3366,                 1.1284,                 1.2287,              0.0019361,              0.0019361,              0.0019361
                     25,                 1.3207,                  1.083,                 1.1116,                0.76933,                0.75117,                0.80989,                0.49767,                 1.3105,                 1.0798,                 1.2089,              0.0019305,              0.0019305,              0.0019305
                     26,                 1.3222,                 1.0561,                 1.1053,                0.77509,                0.65388,                0.71697,                0.41566,                 1.4622,                 1.7169,                  1.269,              0.0019246,              0.0019246,              0.0019246
                     27,                 1.2879,                 1.0513,                 1.0938,                0.75388,                0.64386,                0.73878,                0.45004,                 1.3714,                 1.2995,                 1.2211,              0.0019186,              0.0019186,              0.0019186
                     28,                 1.2726,                 1.0309,                 1.0913,                0.72342,                 0.6563,                0.73234,                0.43579,                 1.3553,                 1.3161,                 1.2303,              0.0019123,              0.0019123,              0.0019123
                     29,                 1.3261,                 1.0171,                  1.108,                0.77658,                0.70273,                0.79371,                0.48645,                 1.3484,                 1.1464,                 1.2505,              0.0019058,              0.0019058,              0.0019058
                     30,                  1.276,                0.98957,                 1.0778,                0.79673,                0.73758,                0.82232,                0.50622,                 1.3371,                0.98454,                 1.2352,               0.001899,               0.001899,               0.001899
