                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2174,                 2.8672,                 1.6369,                0.01667,                0.89041,                0.43978,                0.23009,                 1.5888,                 2.8972,                 1.5999,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.6925,                 1.7357,                 1.3189,                 0.7975,                0.18497,                0.45596,                0.22097,                 1.6914,                 2.5821,                 1.4962,               0.061279,              0.0042787,              0.0042787
                      2,                 1.6838,                   1.61,                 1.3066,                0.21952,                0.44031,                0.17239,                0.07206,                  1.785,                 2.4955,                 1.4681,               0.041436,              0.0064357,              0.0064357
                      3,                 1.6041,                 1.5245,                 1.3149,                0.24928,                0.25148,                0.17536,                0.07173,                 1.8511,                      4,                  1.542,               0.021571,              0.0085708,              0.0085708
                      4,                 1.6243,                 1.4742,                  1.282,                0.15031,                0.43249,                0.15219,                0.06314,                 1.8096,                  5.186,                 1.5733,               0.009802,               0.009802,               0.009802
                      5,                 1.6075,                 1.4796,                 1.3148,                0.31366,                0.41683,                0.22982,                0.10583,                 1.8063,                 2.1136,                 1.4827,               0.009802,               0.009802,               0.009802
                      6,                 1.5489,                 1.3733,                 1.2774,                0.10415,                0.29746,                 0.0797,                0.03662,                 1.7445,                 4.3399,                 1.4637,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5269,                 1.3744,                 1.2522,                0.52691,                0.54012,                 0.4349,                0.22324,                 1.5555,                 1.8062,                  1.346,               0.009703,               0.009703,               0.009703
                      8,                 1.5275,                 1.3885,                 1.2651,                0.68034,                0.54795,                0.58605,                 0.3218,                 1.5716,                 1.5612,                 1.3819,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5059,                 1.3886,                 1.2397,                 0.6668,                0.56947,                0.57634,                0.32187,                  1.444,                 1.8683,                 1.2935,               0.009604,               0.009604,               0.009604
                     10,                 1.4645,                 1.3238,                 1.2468,                0.75692,                0.57534,                0.66545,                0.34665,                 1.5546,                 1.7034,                  1.321,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4843,                 1.3167,                 1.2526,                0.74637,                0.64188,                0.72687,                0.41336,                 1.3837,                 1.7097,                 1.2522,               0.009505,               0.009505,               0.009505
