                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4333,                 3.3248,                 1.7251,                0.01429,                0.76321,                0.34169,                0.17365,                 1.6125,                  3.093,                  1.295,                0.00042,                0.00042,                0.00042
                      1,                 1.6514,                 1.9285,                 1.2382,                0.01926,                0.60861,                0.09966,                0.04417,                 1.6652,                 2.8863,                 1.3138,             0.00085574,             0.00085574,             0.00085574
                      2,                 1.6431,                 1.6969,                 1.2445,                0.60348,                0.54206,                 0.5448,                0.26367,                 1.6591,                 2.0402,                 1.3018,              0.0012871,              0.0012871,              0.0012871
                      3,                 1.5662,                 1.5691,                 1.2481,                0.38108,                0.42074,                0.30609,                 0.1447,                 1.5859,                 2.3284,                 1.3379,              0.0017142,              0.0017142,              0.0017142
                      4,                 1.5608,                 1.5256,                 1.2178,                0.57738,                  0.591,                0.54959,                0.27653,                 1.5738,                 1.8559,                 1.2841,              0.0019604,              0.0019604,              0.0019604
                      5,                  1.544,                 1.5321,                 1.2442,                0.70255,                0.52642,                0.59936,                0.30154,                 1.6541,                 1.7394,                 1.3358,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5067,                 1.4565,                 1.1977,                0.58167,                 0.5499,                0.53268,                0.27179,                 1.5969,                 1.7791,                 1.3187,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.4976,                 1.3809,                 1.1735,                0.67948,                0.54347,                 0.5898,                0.32134,                 1.5126,                  1.746,                 1.2865,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.4587,                 1.3941,                 1.1875,                0.71114,                0.65362,                 0.6887,                0.39897,                 1.3649,                  2.138,                 1.2036,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4635,                 1.3526,                 1.1656,                0.78064,                0.59891,                 0.7268,                 0.4207,                 1.3964,                 1.4845,                 1.2012,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.4365,                 1.3124,                 1.1947,                0.78239,                 0.6473,                0.72126,                0.41473,                  1.417,                 1.4626,                 1.2285,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.4474,                 1.3114,                  1.184,                0.81184,                 0.6047,                 0.7145,                0.41324,                 1.4629,                 1.3732,                 1.2436,               0.001901,               0.001901,               0.001901
                     12,                 1.3859,                 1.2455,                 1.1558,                0.75721,                0.61644,                0.70898,                0.41828,                 1.3735,                 1.3673,                 1.1889,              0.0018911,              0.0018911,              0.0018911
