                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8832,                 2.5616,                 1.4734,                0.76592,                0.44271,                0.52545,                0.27413,                 1.5806,                 2.4387,                 1.3271,             0.00065517,             0.00065517,             0.00065517
                      1,                 1.5512,                 1.6464,                 1.2276,                0.69616,                0.53188,                0.55803,                 0.3007,                 1.5763,                 2.2738,                 1.4523,              0.0013105,              0.0013105,              0.0013105
                      2,                 1.5336,                 1.5279,                 1.2248,                0.70129,                0.62986,                0.64102,                  0.342,                 1.5461,                 2.3193,                 1.3875,              0.0019543,              0.0019543,              0.0019543
                      3,                  1.497,                 1.4278,                 1.1861,                0.68822,                0.60653,                0.66122,                0.34769,                 1.5822,                 1.5096,                 1.4103,              0.0019483,              0.0019483,              0.0019483
                      4,                 1.4369,                 1.3155,                 1.1822,                0.70828,                0.58476,                0.67018,                0.38492,                 1.4909,                 1.5481,                 1.3409,              0.0019483,              0.0019483,              0.0019483
                      5,                 1.4122,                  1.243,                 1.1548,                0.78746,                0.63608,                0.73059,                0.41416,                 1.4263,                 1.3227,                 1.2728,              0.0019311,              0.0019311,              0.0019311
                      6,                 1.3963,                 1.2246,                 1.1549,                0.73345,                0.67652,                0.71162,                  0.392,                 1.4634,                  1.294,                 1.3084,              0.0019139,              0.0019139,              0.0019139
                      7,                 1.3727,                 1.1619,                 1.1383,                 0.7501,                0.64419,                0.71538,                0.41272,                 1.4367,                 1.3078,                  1.265,              0.0018967,              0.0018967,              0.0018967
                      8,                 1.3535,                 1.1229,                 1.1279,                 0.7095,                 0.6723,                 0.7101,                0.41396,                 1.3988,                 1.3109,                 1.2332,              0.0018795,              0.0018795,              0.0018795
                      9,                 1.3429,                 1.1134,                  1.133,                0.74361,                0.65319,                0.69754,                0.39629,                 1.4544,                 1.4011,                 1.2895,              0.0018623,              0.0018623,              0.0018623
                     10,                 1.3314,                 1.0697,                 1.1238,                0.80449,                0.70394,                0.76571,                0.44108,                 1.4315,                 1.2889,                 1.2779,               0.001845,               0.001845,               0.001845
