                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8227,                 2.3731,                 1.4443,                0.58238,                0.51166,                0.53617,                0.28299,                 1.5073,                 2.1611,                 1.2869,             0.00065891,             0.00065891,             0.00065891
                      1,                 1.5074,                 1.4981,                 1.2111,                0.70072,                0.60964,                0.66921,                0.37062,                 1.4213,                 1.8065,                 1.2758,              0.0013142,              0.0013142,              0.0013142
                      2,                  1.444,                 1.3777,                 1.1825,                 0.6637,                0.55677,                0.62705,                0.33226,                 1.5555,                 3.4375,                 1.3583,              0.0019579,              0.0019579,              0.0019579
                      3,                 1.4129,                 1.2862,                 1.1693,                0.66602,                0.61717,                0.68067,                0.37765,                 1.4639,                  1.753,                 1.2599,              0.0019483,              0.0019483,              0.0019483
                      4,                 1.4026,                 1.2615,                 1.1734,                0.75237,                0.67807,                0.74354,                0.44094,                 1.3815,                  2.121,                 1.2625,              0.0019483,              0.0019483,              0.0019483
                      5,                 1.3698,                 1.1975,                 1.1531,                0.76012,                0.70963,                0.78122,                0.42527,                 1.4935,                 1.3108,                  1.349,              0.0019311,              0.0019311,              0.0019311
                      6,                 1.3509,                 1.1492,                 1.1438,                0.80316,                0.70295,                0.80326,                0.49069,                 1.3169,                 1.1222,                 1.1875,              0.0019139,              0.0019139,              0.0019139
                      7,                 1.3069,                 1.0825,                 1.1168,                0.79876,                0.74073,                0.82924,                 0.5002,                 1.3511,                 1.0157,                 1.2371,              0.0018967,              0.0018967,              0.0018967
                      8,                 1.3043,                 1.0923,                 1.1227,                0.76521,                0.73872,                0.81393,                0.47987,                 1.3236,                 1.2723,                 1.1877,              0.0018795,              0.0018795,              0.0018795
                      9,                 1.2805,                 1.0521,                 1.1131,                0.77997,                0.74978,                0.80412,                0.49656,                 1.2788,                 1.0107,                 1.1835,              0.0018623,              0.0018623,              0.0018623
                     10,                 1.2734,                 1.0319,                 1.1018,                0.81039,                0.73115,                0.84239,                0.51799,                 1.3198,                0.96933,                 1.2068,               0.001845,               0.001845,               0.001845
                     11,                 1.2486,                 1.0037,                 1.0933,                 0.8288,                0.76794,                0.85078,                0.52598,                 1.2777,                0.96718,                 1.1874,              0.0018278,              0.0018278,              0.0018278
                     12,                 1.2499,                0.97576,                 1.0964,                0.83872,                0.63142,                0.74896,                0.44862,                 1.3959,                 1.1991,                 1.2696,              0.0018106,              0.0018106,              0.0018106
                     13,                 1.2237,                0.95351,                 1.0817,                0.79345,                0.77294,                0.82451,                0.50524,                 1.3255,                 1.0635,                 1.2321,              0.0017934,              0.0017934,              0.0017934
                     14,                 1.2221,                0.93618,                 1.0789,                0.79235,                0.81026,                0.86893,                 0.5488,                 1.2287,                 0.8588,                 1.1417,              0.0017762,              0.0017762,              0.0017762
                     15,                 1.2049,                0.90614,                 1.0705,                0.84756,                0.77605,                 0.8702,                0.54562,                 1.2043,                0.86034,                 1.1416,               0.001759,               0.001759,               0.001759
                     16,                 1.1698,                0.87597,                 1.0577,                0.80591,                0.79427,                0.85655,                0.54583,                 1.2247,                0.87112,                 1.1629,              0.0017417,              0.0017417,              0.0017417
                     17,                 1.1832,                0.87942,                 1.0557,                0.79228,                0.74184,                0.80816,                0.49504,                 1.3187,                 1.0369,                 1.1885,              0.0017245,              0.0017245,              0.0017245
                     18,                 1.1526,                0.84246,                 1.0429,                 0.8177,                0.78383,                0.85866,                0.53792,                 1.2938,                  0.962,                 1.1821,              0.0017073,              0.0017073,              0.0017073
                     19,                  1.156,                0.84828,                 1.0568,                0.86307,                0.79005,                0.87785,                0.57207,                 1.1837,                0.81554,                 1.1449,              0.0016901,              0.0016901,              0.0016901
                     20,                 1.1539,                0.84035,                  1.046,                0.86566,                0.77916,                0.86383,                0.53349,                 1.3017,                0.83925,                 1.1968,              0.0016729,              0.0016729,              0.0016729
