                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2482,                0.95903,                 1.0777,                0.80025,                0.70451,                 0.8053,                0.50944,                  1.275,                 1.0192,                  1.179,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.2409,                0.97472,                 1.0743,                0.78808,                0.76205,                0.83077,                0.51349,                 1.3116,                 1.0258,                 1.1969,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.2302,                0.96712,                 1.0764,                0.79362,                0.78538,                0.84913,                0.53092,                 1.3093,                0.93703,                 1.1913,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.2144,                 0.9175,                 1.0537,                0.87222,                0.74307,                0.86081,                0.54044,                  1.271,                0.90701,                 1.1841,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.2206,                0.93364,                 1.0602,                0.80794,                0.75238,                0.83384,                0.50216,                 1.3125,                0.99569,                 1.1864,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.2421,                 0.9174,                 1.0633,                 0.8115,                0.75583,                0.84851,                0.52811,                 1.2943,                0.90938,                  1.175,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.2039,                0.89246,                 1.0453,                0.82107,                0.79316,                0.84907,                0.54335,                 1.2422,                0.96069,                 1.1573,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.2088,                 0.9178,                 1.0617,                0.85072,                0.79471,                0.86497,                0.56477,                 1.2044,                0.88777,                 1.1592,               0.001604,               0.001604,               0.001604
                     42,                 1.2305,                0.92526,                 1.0746,                0.79916,                0.73095,                0.81152,                0.52513,                 1.2881,                 1.0204,                 1.1883,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.2217,                0.88697,                 1.0482,                0.83604,                0.68274,                0.76779,                0.47973,                 1.2841,                  1.135,                 1.1925,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.2034,                0.90174,                 1.0612,                0.85392,                0.76827,                0.83761,                0.54327,                 1.2251,                0.91292,                 1.1533,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.2128,                 0.8865,                 1.0565,                0.87361,                0.75251,                0.86479,                0.54694,                 1.2501,                0.85202,                 1.1542,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.1563,                0.84968,                 1.0257,                0.83282,                0.80249,                0.86921,                0.57111,                  1.182,                0.83367,                  1.139,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.1517,                0.83574,                 1.0293,                0.83028,                0.76844,                0.85515,                0.55582,                 1.2163,                0.84687,                 1.1627,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.1526,                0.83129,                 1.0307,                0.83011,                0.76672,                 0.8576,                0.55606,                 1.2357,                 0.8621,                 1.1736,              0.0015347,              0.0015347,              0.0015347
