                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2593,                 2.7595,                 1.6628,                 0.4561,                0.08415,                0.15403,                0.06102,                  1.817,                 2.8651,                 1.9742,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.7273,                 1.7377,                 1.3747,                0.01025,                0.31115,                0.00677,                0.00251,                 2.4176,                    inf,                 3.2984,               0.061279,              0.0042787,              0.0042787
                      2,                 1.8063,                 1.6269,                 1.4378,                0.00807,                0.11742,                 0.0044,                0.00166,                 2.1197,                    inf,                 2.4765,               0.041436,              0.0064357,              0.0064357
                      3,                  1.704,                 1.5914,                 1.4167,                0.05688,                0.30333,                0.04005,                0.01621,                 2.0175,                 13.525,                  2.008,               0.021571,              0.0085708,              0.0085708
                      4,                  1.711,                 1.5404,                 1.3832,                0.11036,                0.25245,                0.06686,                0.02728,                 2.0442,                  9.198,                 1.7609,               0.009802,               0.009802,               0.009802
                      5,                  1.708,                 1.4978,                 1.4145,                0.02343,                0.10763,                0.01507,                0.00608,                 2.1515,                   4.09,                 1.8957,               0.009802,               0.009802,               0.009802
                      6,                 1.6551,                 1.4576,                 1.3656,                0.04999,                0.44423,                0.04448,                0.02244,                 1.7625,                 9.5107,                  1.591,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6607,                 1.4577,                 1.3575,                0.25078,                0.28963,                0.16072,                0.07371,                 1.7911,                    4.7,                 1.5837,               0.009703,               0.009703,               0.009703
                      8,                 1.6565,                 1.4717,                  1.377,                0.17966,                0.26486,                0.10515,                0.03587,                 2.4644,                 3.3777,                 2.0496,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6535,                 1.4154,                 1.3616,                0.26982,                0.35812,                0.18723,                0.08402,                 1.9836,                 2.3858,                 1.6516,               0.009604,               0.009604,               0.009604
                     10,                 1.6128,                 1.4036,                 1.3614,                0.32099,                0.19961,                0.17587,                0.07813,                  2.125,                 2.8845,                 1.6591,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6125,                 1.4188,                 1.3763,                0.39647,                0.37024,                0.32495,                0.16124,                 1.8258,                 2.0328,                 1.5795,               0.009505,               0.009505,               0.009505
                     12,                 1.5782,                 1.3328,                 1.3262,                0.52341,                0.44703,                0.41151,                0.21882,                 1.7333,                 1.8048,                 1.5094,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.582,                 1.4063,                 1.3416,                0.64641,                0.51468,                0.54085,                0.29556,                 1.5542,                 2.0107,                 1.4267,               0.009406,               0.009406,               0.009406
                     14,                 1.5797,                 1.3914,                 1.3451,                0.70304,                0.56947,                0.67827,                0.37679,                 1.5078,                 1.6064,                 1.3705,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5719,                 1.3615,                 1.3119,                0.65707,                0.55868,                0.61628,                0.33262,                 1.5674,                 1.6577,                 1.3967,               0.009307,               0.009307,               0.009307
                     16,                 1.5281,                 1.2847,                 1.2834,                0.71127,                0.64384,                0.66258,                0.36252,                  1.485,                 2.6071,                 1.3816,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5848,                 1.3517,                 1.3281,                0.63511,                  0.591,                0.65896,                0.36791,                 1.4514,                 1.5902,                 1.3263,               0.009208,               0.009208,               0.009208
                     18,                  1.495,                 1.3105,                 1.2856,                 0.6931,                0.63992,                0.66603,                0.38014,                 1.3995,                 1.4055,                 1.2971,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5005,                 1.2687,                 1.3049,                0.60752,                0.42466,                0.49795,                0.27788,                 1.5535,                 1.9904,                 1.3601,               0.009109,               0.009109,               0.009109
                     20,                 1.5374,                 1.2975,                 1.3067,                0.57763,                0.52446,                0.46255,                0.25846,                 1.4955,                 1.7537,                 1.3542,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4795,                  1.265,                 1.2814,                0.69305,                0.64952,                0.68644,                 0.3783,                 1.5355,                 1.6545,                 1.3937,                0.00901,                0.00901,                0.00901
                     22,                 1.4944,                 1.2506,                 1.2831,                0.72328,                0.64971,                0.69638,                 0.3791,                 1.4887,                 1.3242,                  1.339,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4971,                 1.3044,                 1.3087,                0.69522,                0.58317,                0.66424,                0.35404,                 1.5553,                 1.7254,                 1.3649,               0.008911,               0.008911,               0.008911
                     24,                 1.4531,                 1.2316,                 1.2678,                0.72403,                0.63209,                0.69348,                0.40398,                 1.4134,                 1.4908,                 1.3151,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5362,                  1.247,                 1.2999,                 0.7279,                0.64915,                0.71374,                0.39613,                 1.4948,                 1.3177,                 1.3371,               0.008812,               0.008812,               0.008812
                     26,                 1.4497,                 1.2147,                 1.2665,                0.59959,                0.55969,                0.58717,                 0.2812,                 1.8442,                 1.5479,                 1.4908,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5211,                 1.2532,                 1.3017,                0.70558,                0.68001,                0.71621,                0.40447,                 1.4314,                 1.6841,                 1.3168,               0.008713,               0.008713,               0.008713
                     28,                 1.4767,                 1.2096,                 1.2731,                0.70689,                0.61252,                0.64575,                0.36208,                 1.4686,                 1.3542,                 1.3604,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4415,                 1.1606,                 1.2742,                0.75472,                0.63225,                0.73561,                0.42976,                 1.4662,                 1.2131,                 1.3249,               0.008614,               0.008614,               0.008614
                     30,                 1.4193,                 1.1775,                 1.2557,                0.74614,                0.60274,                0.71351,                0.40031,                 1.4757,                 1.4693,                  1.353,              0.0085645,              0.0085645,              0.0085645
                     31,                  1.415,                 1.1645,                 1.2422,                0.78077,                 0.6184,                0.75101,                0.42063,                 1.4577,                 1.2036,                 1.3223,               0.008515,               0.008515,               0.008515
                     32,                 1.4778,                 1.1718,                 1.2715,                0.70252,                0.66341,                0.71173,                  0.397,                 1.5155,                 1.3002,                 1.3646,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4538,                 1.1883,                 1.2581,                0.70701,                0.68102,                0.70785,                0.39734,                 1.4824,                 1.4052,                 1.3514,               0.008416,               0.008416,               0.008416
                     34,                 1.4176,                 1.1567,                 1.2455,                0.70429,                0.65718,                0.69663,                0.36011,                 1.6484,                 1.2787,                 1.3985,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4631,                 1.1254,                 1.2475,                0.74029,                0.63796,                0.72222,                0.39592,                 1.5128,                 1.2581,                 1.3321,               0.008317,               0.008317,               0.008317
                     36,                 1.4268,                 1.1658,                 1.2441,                0.72037,                 0.6201,                0.69704,                0.39689,                 1.4148,                 1.4719,                 1.3148,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4197,                 1.1554,                 1.2396,                0.75538,                0.62818,                  0.714,                0.39864,                 1.4703,                 1.3663,                 1.3433,               0.008218,               0.008218,               0.008218
                     38,                 1.4147,                 1.1367,                 1.2435,                0.73353,                0.64971,                0.72984,                0.40262,                  1.455,                 1.3132,                 1.3128,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3754,                 1.1156,                  1.216,                0.77379,                0.67515,                0.76887,                0.44255,                 1.4281,                 1.1826,                 1.2887,               0.008119,               0.008119,               0.008119
                     40,                 1.3559,                 1.0998,                 1.2186,                0.76368,                0.69472,                0.76699,                0.45222,                 1.3854,                 1.1196,                 1.2975,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4448,                 1.1578,                 1.2442,                0.70535,                0.61252,                0.65026,                0.35284,                 1.6095,                 1.3378,                 1.4444,                0.00802,                0.00802,                0.00802
                     42,                 1.3848,                 1.1101,                 1.2268,                0.77449,                0.68102,                0.76801,                0.46302,                 1.3798,                 1.1665,                 1.2963,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3659,                 1.0735,                 1.2073,                0.74026,                0.66927,                0.74754,                0.44344,                 1.3792,                  1.258,                 1.2956,               0.007921,               0.007921,               0.007921
                     44,                 1.3622,                 1.1079,                 1.2162,                0.72963,                0.70239,                0.76838,                 0.4529,                 1.3865,                 1.1598,                 1.2882,              0.0078715,              0.0078715,              0.0078715
