                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4576,                 1.2087,                 1.2847,                0.77159,                0.66719,                0.75284,                0.44322,                 1.4117,                  1.262,                 1.4291,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.445,                 1.1772,                 1.2857,                0.73714,                0.62364,                0.73049,                0.42742,                 1.4624,                 1.2536,                 1.4574,               0.008317,               0.008317,               0.008317
                     36,                 1.4279,                 1.1785,                 1.2883,                0.76179,                0.66407,                0.73914,                0.43789,                 1.4159,                 1.2623,                  1.432,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3887,                 1.1286,                 1.2421,                0.72163,                0.65785,                0.65397,                0.37402,                 1.4001,                  1.809,                 1.4337,               0.008218,               0.008218,               0.008218
                     38,                 1.4205,                 1.1354,                 1.2631,                0.75043,                0.65474,                0.71682,                0.41308,                 1.4358,                 1.3931,                 1.4335,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4238,                 1.1462,                 1.2511,                0.71866,                0.63919,                 0.7049,                 0.4108,                 1.4372,                 1.2411,                 1.4156,               0.008119,               0.008119,               0.008119
                     40,                 1.3879,                 1.1203,                 1.2348,                0.78081,                0.65372,                0.74298,                0.43507,                 1.4369,                 1.3411,                 1.4429,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3834,                 1.1451,                 1.2524,                0.77737,                0.64852,                0.74814,                0.44214,                 1.4187,                 1.1732,                 1.4392,                0.00802,                0.00802,                0.00802
                     42,                 1.4277,                 1.1801,                 1.2814,                0.72746,                0.69362,                0.75622,                0.45091,                 1.4032,                 1.2586,                 1.4226,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3981,                 1.1044,                 1.2366,                0.72588,                0.66305,                0.71783,                 0.4283,                 1.3741,                 1.3315,                 1.3914,               0.007921,               0.007921,               0.007921
                     44,                 1.3955,                 1.1304,                  1.264,                0.77331,                0.66846,                0.74369,                0.42806,                 1.4794,                 1.1626,                 1.4363,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4163,                 1.1138,                  1.254,                0.77668,                 0.6112,                0.73345,                 0.4309,                 1.4231,                 1.1785,                 1.4049,               0.007822,               0.007822,               0.007822
                     46,                 1.3775,                 1.0993,                 1.2318,                0.74518,                0.68219,                0.72887,                 0.4355,                 1.3448,                 1.1801,                 1.3628,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3585,                  1.094,                 1.2247,                0.79971,                 0.6563,                0.76603,                0.44681,                 1.4183,                 1.1304,                 1.3997,               0.007723,               0.007723,               0.007723
                     48,                 1.3552,                 1.0646,                 1.2237,                0.73768,                0.71384,                0.75343,                0.43645,                 1.4307,                 1.1854,                 1.4066,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3872,                 1.0729,                 1.2351,                0.76885,                 0.7014,                0.78463,                0.47836,                 1.3503,                 1.1205,                  1.371,               0.007624,               0.007624,               0.007624
                     50,                 1.3293,                 1.0464,                 1.2178,                0.80938,                0.68675,                0.79434,                0.49346,                 1.3673,                 1.1159,                   1.39,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3812,                 1.0786,                  1.242,                0.80703,                0.68429,                0.78602,                0.47002,                 1.3459,                 1.5045,                 1.3774,               0.007525,               0.007525,               0.007525
                     52,                 1.3849,                 1.0937,                 1.2625,                  0.795,                0.68118,                0.78626,                0.46891,                 1.3565,                 1.1106,                 1.3946,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.355,                 1.0481,                 1.2271,                0.74789,                0.70918,                0.76305,                0.46188,                  1.344,                 1.1632,                 1.3837,               0.007426,               0.007426,               0.007426
                     54,                 1.3732,                 1.0451,                 1.2229,                0.81915,                0.71229,                0.80541,                0.48038,                 1.3733,                 1.0879,                  1.399,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3578,                 1.0608,                 1.2388,                0.77357,                0.70295,                0.76211,                0.45976,                 1.3974,                 1.1978,                 1.4121,               0.007327,               0.007327,               0.007327
                     56,                 1.3355,                  1.059,                  1.247,                0.82812,                 0.6563,                 0.7649,                 0.4671,                 1.3559,                 1.0919,                 1.3991,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3415,                 1.0305,                 1.2135,                 0.7971,                0.68428,                0.78132,                0.46231,                 1.3985,                 1.0658,                 1.4396,               0.007228,               0.007228,               0.007228
                     58,                 1.3274,                  1.014,                 1.2222,                0.75451,                0.73132,                0.80663,                0.48592,                 1.3469,                 1.0718,                 1.3861,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3409,                 1.0555,                  1.244,                0.78043,                0.70295,                 0.7914,                0.46858,                 1.4049,                 1.0273,                 1.4334,               0.007129,               0.007129,               0.007129
                     60,                 1.3223,                 1.0133,                 1.2157,                0.78825,                0.70607,                0.79675,                0.49263,                 1.3481,                 1.0341,                 1.3634,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3179,                 1.0224,                 1.2116,                0.79623,                0.72473,                0.80572,                0.49629,                 1.3086,                 1.0624,                 1.3527,                0.00703,                0.00703,                0.00703
                     62,                 1.2759,                0.99415,                 1.2029,                0.82529,                0.73872,                0.83315,                0.50333,                 1.3365,                0.94808,                 1.3631,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3013,                0.98987,                 1.2066,                0.76771,                0.75041,                0.79328,                0.47093,                 1.3557,                  1.095,                 1.3537,               0.006931,               0.006931,               0.006931
                     64,                 1.2948,                0.99802,                 1.1896,                0.84437,                0.76785,                0.83479,                0.51521,                 1.3472,                0.95211,                 1.3768,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2757,                0.98315,                 1.1905,                 0.7389,                0.70451,                0.73757,                0.44538,                 1.3382,                 1.1543,                 1.3756,               0.006832,               0.006832,               0.006832
                     66,                 1.2844,                0.96591,                 1.1992,                0.78393,                0.75428,                0.82708,                0.50858,                 1.3194,                0.99652,                 1.3576,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3122,                0.97257,                 1.2123,                  0.759,                0.75272,                0.80059,                0.49891,                 1.3128,                 0.9742,                 1.3529,               0.006733,               0.006733,               0.006733
                     68,                  1.306,                0.97963,                 1.2018,                0.78018,                0.75621,                0.82467,                0.51813,                 1.2927,                 0.9477,                 1.3353,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2677,                0.95899,                 1.1725,                0.81167,                0.73717,                0.83044,                0.51577,                 1.3136,                0.96799,                 1.3518,               0.006634,               0.006634,               0.006634
