                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8205,                 2.3445,                 1.4449,                0.70581,                0.63453,                0.70027,                0.38546,                 1.3829,                 2.4387,                 1.2821,             0.00065891,             0.00065891,             0.00065891
                      1,                 1.4662,                  1.278,                 1.2157,                0.73082,                 0.6283,                0.68207,                0.36623,                 1.4945,                 1.9366,                 1.4203,              0.0013125,              0.0013125,              0.0013125
                      2,                 1.4286,                 1.2366,                  1.198,                0.72737,                0.57854,                 0.6688,                0.38576,                 1.4615,                 1.6396,                 1.3262,              0.0019528,              0.0019528,              0.0019528
                      3,                 1.3971,                 1.1581,                 1.1799,                0.76176,                0.64697,                0.71847,                0.41429,                 1.4272,                 1.4466,                 1.2893,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.3792,                  1.134,                  1.188,                 0.7778,                0.68274,                0.77631,                 0.4715,                 1.2973,                 1.2753,                 1.2328,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3346,                 1.0786,                 1.1631,                0.72787,                 0.7325,                 0.7648,                0.46237,                 1.3657,                 1.2957,                  1.286,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3283,                 1.0521,                 1.1552,                0.71964,                0.73451,                0.79029,                0.47323,                  1.348,                 1.1229,                  1.264,               0.001901,               0.001901,               0.001901
                      7,                 1.2677,                 0.9857,                 1.1199,                0.79137,                0.75739,                0.81749,                0.51031,                 1.2445,                 1.0627,                 1.1997,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2578,                0.98841,                 1.1173,                0.83119,                0.74806,                0.81634,                0.50552,                 1.2853,                0.96374,                 1.2242,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2266,                0.95222,                 1.1089,                0.80319,                0.76205,                0.83353,                0.51918,                 1.2485,                0.95083,                 1.1877,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2151,                0.91644,                 1.1005,                0.81349,                0.76983,                 0.8292,                0.53751,                 1.2274,                  1.401,                  1.197,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1855,                0.90147,                 1.0825,                0.83239,                0.78227,                0.86897,                0.54025,                 1.3169,                0.92358,                 1.1918,               0.001802,               0.001802,               0.001802
                     12,                 1.1886,                0.87994,                 1.0804,                0.84227,                0.79724,                0.87043,                0.57696,                 1.2172,                0.84416,                 1.1701,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.152,                0.85862,                  1.067,                0.88172,                0.77677,                0.88408,                0.56072,                 1.2362,                0.84965,                 1.1849,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.148,                0.83679,                 1.0635,                0.85521,                0.76241,                0.85372,                 0.5526,                 1.2276,                0.87076,                 1.1557,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1257,                0.80757,                  1.048,                 0.8709,                0.80871,                 0.9022,                0.58656,                 1.1872,                0.78425,                 1.1424,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0964,                0.77365,                 1.0386,                0.83922,                0.80249,                0.87609,                0.56662,                 1.2417,                0.81067,                 1.1839,               0.001703,               0.001703,               0.001703
                     17,                  1.113,                0.78158,                 1.0425,                0.82475,                0.82271,                0.88565,                0.58288,                 1.1603,                0.79012,                 1.1449,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.071,                0.74271,                 1.0205,                0.85494,                0.84292,                0.89181,                0.59344,                 1.1236,                0.77373,                 1.1331,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0648,                0.74762,                 1.0289,                0.86642,                 0.8367,                0.90252,                0.60258,                 1.1662,                0.74205,                 1.1513,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0728,                0.73792,                 1.0264,                0.87069,                0.81337,                0.89596,                0.56606,                 1.2189,                0.77298,                 1.1428,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0456,                0.71115,                 1.0135,                0.85659,                0.84137,                0.89753,                0.60454,                   1.12,                0.75318,                 1.1317,               0.001604,               0.001604,               0.001604
                     22,                 1.0299,                0.71782,                 1.0079,                 0.9016,                 0.8196,                0.90475,                 0.6077,                 1.1616,                0.74903,                 1.1388,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0168,                0.69839,                 1.0102,                0.90521,                 0.8317,                0.91813,                0.62675,                 1.1246,                0.70975,                 1.1214,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0029,                0.68163,                 1.0008,                0.91098,                0.83826,                0.91354,                0.60731,                  1.139,                0.74579,                 1.1409,              0.0015446,              0.0015446,              0.0015446
                     25,                  0.995,                0.65211,                0.98354,                0.89819,                 0.8232,                0.90249,                0.60424,                 1.1389,                0.71079,                 1.1349,              0.0015248,              0.0015248,              0.0015248
                     26,                0.97547,                0.66498,                 0.9829,                0.86806,                 0.8493,                 0.9213,                  0.615,                 1.1388,                0.72257,                  1.121,               0.001505,               0.001505,               0.001505
                     27,                0.96524,                0.63382,                 0.9806,                0.91344,                0.83698,                0.92374,                   0.64,                 1.1098,                0.70392,                 1.1304,              0.0014852,              0.0014852,              0.0014852
                     28,                0.95031,                0.63156,                0.97304,                0.93067,                0.79329,                0.90943,                0.62446,                 1.0949,                0.71534,                 1.1106,              0.0014654,              0.0014654,              0.0014654
                     29,                0.95644,                0.62994,                0.97235,                0.90535,                0.84914,                0.92173,                0.63494,                  1.068,                0.69381,                 1.0976,              0.0014456,              0.0014456,              0.0014456
                     30,                0.96078,                0.62726,                0.97416,                 0.8836,                0.86183,                0.92851,                0.64926,                   1.06,                0.66599,                 1.0891,              0.0014258,              0.0014258,              0.0014258
                     31,                0.92194,                0.60647,                0.96382,                0.91631,                 0.8647,                0.93395,                0.64988,                 1.0828,                0.64846,                 1.1211,               0.001406,               0.001406,               0.001406
                     32,                 0.9248,                0.59896,                0.96397,                 0.8935,                0.83504,                0.91647,                0.61684,                 1.1102,                0.68365,                 1.1241,              0.0013862,              0.0013862,              0.0013862
                     33,                0.89922,                 0.5832,                0.95216,                0.92442,                0.88025,                0.94253,                0.66078,                 1.0509,                0.63673,                 1.0937,              0.0013664,              0.0013664,              0.0013664
                     34,                0.91797,                0.59918,                0.95733,                0.91525,                0.85656,                0.93246,                0.65796,                 1.0541,                0.65002,                 1.1003,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90726,                0.58631,                0.95561,                0.89844,                0.85381,                0.93163,                0.66299,                   1.04,                0.65691,                  1.092,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9049,                0.57879,                0.95465,                0.92387,                0.84759,                0.93487,                0.65381,                 1.0659,                0.63614,                   1.12,               0.001307,               0.001307,               0.001307
                     37,                0.88908,                0.56504,                0.95517,                 0.9156,                0.85381,                0.92958,                0.65696,                 1.0631,                0.64724,                  1.091,              0.0012872,              0.0012872,              0.0012872
                     38,                0.88248,                0.56278,                0.94574,                0.91766,                0.85537,                0.92524,                 0.6442,                 1.0872,                0.63989,                  1.114,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87705,                0.54254,                0.93786,                0.89548,                0.87941,                0.92682,                0.64537,                 1.0798,                0.63818,                 1.1054,              0.0012476,              0.0012476,              0.0012476
                     40,                0.86002,                0.55431,                0.93751,                0.92747,                0.85226,                0.93577,                0.65418,                 1.0657,                0.61784,                 1.0925,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8466,                0.53831,                0.93582,                0.90559,                0.88018,                0.93361,                0.67269,                 1.0131,                 0.5957,                  1.086,               0.001208,               0.001208,               0.001208
                     42,                0.84473,                0.53264,                0.93164,                0.89675,                0.87799,                 0.9403,                0.67826,                 1.0341,                0.62666,                 1.1023,              0.0011882,              0.0011882,              0.0011882
                     43,                0.83579,                0.52629,                0.93032,                0.92837,                0.86667,                0.94175,                0.67929,                 1.0143,                0.58404,                 1.0868,              0.0011684,              0.0011684,              0.0011684
                     44,                0.82014,                0.51513,                0.92091,                0.91507,                0.87714,                 0.9427,                0.67036,                 1.0521,                0.57689,                 1.1025,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80595,                0.50992,                0.91512,                 0.9258,                0.87315,                0.93923,                0.67083,                  1.025,                0.58105,                 1.0918,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80339,                0.51096,                0.91692,                0.91314,                0.86314,                0.92728,                0.66203,                 1.0084,                 0.5973,                 1.0955,               0.001109,               0.001109,               0.001109
                     47,                0.80011,                0.50003,                0.91301,                0.93182,                0.86625,                0.94337,                0.68879,                0.98427,                0.58542,                 1.0673,              0.0010892,              0.0010892,              0.0010892
                     48,                0.79559,                0.49756,                0.91025,                0.93356,                 0.8507,                0.94305,                0.67851,                 1.0225,                0.59888,                 1.0967,              0.0010694,              0.0010694,              0.0010694
                     49,                0.77892,                0.49007,                0.90834,                0.90012,                0.89114,                0.94063,                0.67822,                  1.012,                0.58021,                 1.1058,              0.0010496,              0.0010496,              0.0010496
